CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
C9orf170	C9orf170	C9orf170	C9orf170	C9orf170	0.354048978	71.89928318
C9orf47	C9orf47	C9orf47	C9orf47	C9orf47	0.643031352	83.23594964
CENPP	CENPP	CENPP	CENPP	CENPP	0.472134885	77.10981266
ZNF484	ZNF484	ZNF484	ZNF484	ZNF484	0.267967009	67.39955424
PHF2	PHF2	PHF2	PHF2	PHF2	-0.233285387	35.04005783
FANCC	FANCC	FANCC	FANCC	FANCC	-0.308412385	30.90175291
ERCC6L2	ERCC6L2	ERCC6L2	ERCC6L2	ERCC6L2	-0.011161958	49.49701825
AAED1	AAED1	AAED1	AAED1	AAED1	0.947797834	90.13914824
ZNF510	ZNF510	ZNF510	ZNF510	ZNF510	0.524608817	79.31449913
ZNF782	ZNF782	ZNF782	ZNF782	ZNF782	0.99870213	91.00054214
C9orf174	C9orf174	CCDC180	CCDC180	CCDC180	-0.307528899	30.92584784
TBC1D2	TBC1D2	TBC1D2	TBC1D2	TBC1D2	0.527421247	79.44702126
COL15A1	COL15A1	COL15A1	COL15A1	COL15A1	1.857830974	97.85555087
ERP44	ERP44	ERP44	ERP44	ERP44	-0.4354008	24.54671405
MURC	MURC	MURC	MURC	MURC	0.213926368	64.51418589
RNF20	RNF20	RNF20	RNF20	RNF20	-1.101640599	7.650141558
CYLC2	CYLC2	CYLC2	CYLC2	CYLC2	1.211787536	93.86783929
SMC2	SMC2	SMC2	SMC2	SMC2	-0.079118658	44.84669598
OR13F1	OR13F1	OR13F1	OR13F1	OR13F1	0.833280352	88.05493645
OR13C4	OR13C4	OR13C4	OR13C4	OR13C4	0.590221594	81.62158906
OR13C3	OR13C3	OR13C3	OR13C3	OR13C3	0.523207207	79.24823806
OR13C8	OR13C8	OR13C8	OR13C8	OR13C8	0.256102396	66.77308596
OR13C5	OR13C5	OR13C5	OR13C5	OR13C5	1.375209708	95.3797964
OR13C2	OR13C2	OR13C2	OR13C2	OR13C2	0.889056242	89.07294741
OR13C9	OR13C9	OR13C9	OR13C9	OR13C9	1.370676753	95.35570146
OR13D1	OR13D1	OR13D1	OR13D1	OR13D1	1.019174685	91.33787121
ZNF462	ZNF462	ZNF462	ZNF462	ZNF462	-3.163009396	0.608397085
FRRS1L	FRRS1L	FRRS1L	FRRS1L	FRRS1L	0.047733071	53.68953677
PALM2	PALM2	PALM2	PALM2	PALM2	-0.029121447	48.19589181
PALM2-AKAP2	PALM2-AKAP2	PALM2-AKAP2	PALM2-AKAP2	PALM2-AKAP2	0.524303052	79.30847539
C9orf152	C9orf152	C9orf152	C9orf152	C9orf152	-0.12237148	41.75652069
TXN	TXN	TXN	TXN	TXN	0.181758691	62.75525571
TXNDC8	TXNDC8	TXNDC8	TXNDC8	TXNDC8	0.506818149	78.60972231
ZNF483	ZNF483	ZNF483	ZNF483	ZNF483	-0.913396135	10.44515391
GNG10	GNG10	GNG10	GNG10	GNG10	0.07116808	55.26775495
KIAA1958	KIAA1958	KIAA1958	KIAA1958	KIAA1958	-0.919492001	10.3367267
PHF19	PHF19	PHF19	PHF19	PHF19	-0.433214505	24.64911752
CNTRL	CNTRL	CNTRL	CNTRL	CNTRL	-0.451631192	23.75158123
OR1J1	OR1J1	OR1J1	OR1J1	OR1J1	0.618806513	82.56731522
OR1J2	OR1J2	OR1J2	OR1J2	OR1J2	0.292965517	68.83922655
OR1J4	OR1J4	OR1J4	OR1J4	OR1J4	0.314836454	69.97168845
OR1N2	OR1N2	OR1N2	OR1N2	OR1N2	0.40058981	74.09192217
OR1L8	OR1L8	OR1L8	OR1L8	OR1L8	0.524773064	79.35064153
OR1Q1	OR1Q1	OR1Q1	OR1Q1	OR1Q1	0.730965693	85.65749051
OR1B1	OR1B1	OR1B1	OR1B1	OR1B1	0.949191077	90.17529065
OR1L1	OR1L1	OR1L1	OR1L1	OR1L1	1.238195356	94.12083609
OR1L3	OR1L3	OR1L3	OR1L3	OR1L3	0.561636763	80.69995783
OR1L4	OR1L4	OR1L4	OR1L4	OR1L4	0.913109926	89.41027649
OR1L6	OR1L6	OR1L6	OR1L6	OR1L6	1.012464036	91.24149148
OR5C1	OR5C1	OR5C1	OR5C1	OR5C1	0.317019306	70.07409192
OR1K1	OR1K1	OR1K1	OR1K1	OR1K1	0.667697613	83.94072646
DENND1A	DENND1A	DENND1A	DENND1A	DENND1A	-1.39005026	4.620203602
NR6A1	NR6A1	NR6A1	NR6A1	NR6A1	-0.66346033	16.42672128
FAM125B	MVB12B	MVB12B	MVB12B	MVB12B	-0.575360488	19.2337811
RALGPS1	RALGPS1	RALGPS1	RALGPS1	RALGPS1	-0.127683555	41.35293055
FAM129B	FAM129B	FAM129B	FAM129B	FAM129B	-0.006793632	49.85844226
PTRH1	PTRH1	PTRH1	PTRH1	PTRH1	0.192220069	63.36365279
FPGS	FPGS	FPGS	FPGS	FPGS	0.221422814	64.8756099
LRRC8A	LRRC8A	LRRC8A	LRRC8A	LRRC8A	-1.387690906	4.626227336
NUP188	NUP188	NUP188	NUP188	NUP188	-1.360530192	4.867176676
C9orf50	C9orf50	C9orf50	C9orf50	C9orf50	0.986056671	90.82585386
NTMT1	NTMT1	NTMT1	NTMT1	NTMT1	-0.463986201	23.20944521
GPR107	GPR107	GPR107	GPR107	GPR107	-0.482887308	22.44443106
ABL1	ABL1	ABL1	ABL1	ABL1	-1.421792987	4.397325462
C9orf96	C9orf96	C9orf96	C9orf96	C9orf96	0.196425498	63.65881573
TMEM8C	TMEM8C	TMEM8C	TMEM8C	TMEM8C	-0.006469668	49.88856093
RXRA	RXRA	RXRA	RXRA	RXRA	-0.99087713	9.107885067
PAEP	PAEP	PAEP	PAEP	PAEP	0.403722576	74.25456298
SOHLH1	SOHLH1	SOHLH1	SOHLH1	SOHLH1	1.272711731	94.4641889
KCNT1	KCNT1	KCNT1	KCNT1	KCNT1	-1.732734355	2.807059816
CAMSAP1	CAMSAP1	CAMSAP1	CAMSAP1	CAMSAP1	-1.925612502	2.168544064
UBAC1	UBAC1	UBAC1	UBAC1	UBAC1	0.043822385	53.44858743
QSOX2	QSOX2	QSOX2	QSOX2	QSOX2	-0.768284084	13.57749533
DNLZ	DNLZ	DNLZ	DNLZ	DNLZ	1.227739039	94.02445636
PMPCA	PMPCA	PMPCA	PMPCA	PMPCA	-0.557559766	19.69760858
LCN10	LCN10	LCN10	LCN10	LCN10	0.393876916	73.80278296
LCN8	LCN8	LCN8	LCN8	LCN8	0.464639391	76.83272092
TMEM203	TMEM203	TMEM203	TMEM203	TMEM203	0.02524334	52.1655322
FAM166A	FAM166A	FAM166A	FAM166A	FAM166A	0.627704082	82.8142883
NRARP	NRARP	NRARP	NRARP	NRARP	0.091473986	56.75561713
C9orf37	C9orf37	C9orf37	C9orf37	C9orf37	-0.087693066	44.2202277
CSF2RA	CSF2RA	CSF2RA	CSF2RA	CSF2RA	0.904505445	87.13017751
DHRSX	DHRSX	DHRSX	DHRSX	DHRSX	1.044975997	90.0887574
ARSD	ARSD	ARSD	ARSD	ARSD	1.938872493	97.04142012
ARSH	ARSH	ARSH	ARSH	ARSH	1.802671809	96.30177515
FRMPD4	FRMPD4	FRMPD4	FRMPD4	FRMPD4	-1.31187724	7.24852071
TMSB4X	TMSB4X	TMSB4X	TMSB4X	TMSB4X	-0.018834751	50.73964497
FAM9C	FAM9C	FAM9C	FAM9C	FAM9C	0.366848685	71.89349112
DDX53	DDX53	DDX53	DDX53	DDX53	0.394870489	72.78106509
PTCHD1	PTCHD1	PTCHD1	PTCHD1	PTCHD1	-1.46720751	5.177514793
ACOT9	ACOT9	ACOT9	ACOT9	ACOT9	0.370434873	72.04142012
KLHL15	KLHL15	KLHL15	KLHL15	KLHL15	-1.35833852	6.50887574
MAGEB10	MAGEB10	MAGEB10	MAGEB10	MAGEB10	0.967003055	89.20118343
DCAF8L1	DCAF8L1	DCAF8L1	DCAF8L1	DCAF8L1	0.833235262	85.20710059
FAM47C	FAM47C	FAM47C	FAM47C	FAM47C	3.121223039	99.11242604
ARAF	ARAF	ARAF	ARAF	ARAF	-0.339785366	31.21301775
ZNF182	ZNF182	ZNF182	ZNF182	ZNF182	0.082198374	58.57988166
ZNF630	ZNF630	ZNF630	ZNF630	ZNF630	1.22062706	91.86390533
TBC1D25	TBC1D25	TBC1D25	TBC1D25	TBC1D25	-1.126382042	9.023668639
ERAS	ERAS	ERAS	ERAS	ERAS	-0.103957124	44.9704142
GRIPAP1	GRIPAP1	GRIPAP1	GRIPAP1	GRIPAP1	-0.984970037	11.39053254
GPKOW	GPKOW	GPKOW	GPKOW	GPKOW	0.566322465	78.84615385
CACNA1F	CACNA1F	CACNA1F	CACNA1F	CACNA1F	-0.925991388	12.27810651
PPP1R3F	PPP1R3F	PPP1R3F	PPP1R3F	PPP1R3F	0.702706287	82.69230769
PAGE4	PAGE4	PAGE4	PAGE4	PAGE4	0.116245494	60.50295858
SHROOM4	SHROOM4	SHROOM4	SHROOM4	SHROOM4	4.274552544	99.70414201
NUDT10	NUDT10	NUDT10	NUDT10	NUDT10	-0.097892313	45.41420118
SPANXN5	SPANXN5	SPANXN5	SPANXN5	SPANXN5	-0.125915713	43.19526627
IQSEC2	IQSEC2	IQSEC2	IQSEC2	IQSEC2	-1.591622566	3.99408284
HUWE1	HUWE1	HUWE1	HUWE1	HUWE1	-7.584497199	0.147928994
PAGE2B	PAGE2B	PAGE2B	PAGE2B	PAGE2B	0.41198175	73.07692308
FAM104B	FAM104B	FAM104B	FAM104B	FAM104B	0.453298721	74.85207101
FOXR2	FOXR2	FOXR2	FOXR2	FOXR2	0.503066662	76.47928994
SPIN2B	SPIN2B	SPIN2B	SPIN2B	SPIN2B	0.088264618	58.87573964
SPIN2A	SPIN2A	SPIN2A	SPIN2A	SPIN2A	0.276909231	68.19526627
ZXDB	ZXDB	ZXDB	ZXDB	ZXDB	-0.37761021	29.73372781
ARHGEF9	ARHGEF9	ARHGEF9	ARHGEF9	ARHGEF9	0.341261405	70.56213018
FAM155B	FAM155B	FAM155B	FAM155B	FAM155B	-0.106296259	44.67455621
AWAT2	AWAT2	AWAT2	AWAT2	AWAT2	0.071223414	57.5443787
AWAT1	AWAT1	AWAT1	AWAT1	AWAT1	0.012857777	52.81065089
RAB41	RAB41	RAB41	RAB41	RAB41	0.04568779	55.17751479
TEX11	TEX11	TEX11	TEX11	TEX11	-0.108691759	44.52662722
CXorf65	CXorf65	CXorf65	CXorf65	CXorf65	0.958631129	88.60946746
ACRC	ACRC	ACRC	ACRC	ACRC	-0.579497313	20.41420118
ERCC6L	ERCC6L	ERCC6L	ERCC6L	ERCC6L	-0.181676706	40.38461538
KIAA2022	KIAA2022	KIAA2022	KIAA2022	KIAA2022	-2.03735247	2.071005917
PGAM4	PGAM4	PGAM4	PGAM4	PGAM4	0.851352634	85.79881657
ATP7A	ATP7A	ATP7A	ATP7A	ATP7A	0.66034288	81.06508876
TAF9B	TAF9B	TAF9B	TAF9B	TAF9B	-0.135530539	42.30769231
CYLC1	CYLC1	CYLC1	CYLC1	CYLC1	2.214827038	98.07692308
HDX	HDX	HDX	HDX	HDX	-0.519844577	23.07692308
SATL1	SATL1	SATL1	SATL1	SATL1	3.232546048	99.26035503
ZNF711	ZNF711	ZNF711	ZNF711	ZNF711	-0.65614121	18.34319527
RPA4	RPA4	RPA4	RPA4	RPA4	-0.370283001	29.8816568
TAF7L	TAF7L	TAF7L	TAF7L	TAF7L	-0.468750586	25
ZMAT1	ZMAT1	ZMAT1	ZMAT1	ZMAT1	0.190440528	64.49704142
BEX5	BEX5	BEX5	BEX5	BEX5	-0.158741497	41.12426036
GPRASP1	GPRASP1	GPRASP1	GPRASP1	GPRASP1	1.177446094	91.42011834
RAB40AL	RAB40AL	RAB40AL	RAB40AL	RAB40AL	1.57364866	95.41420118
BEX1	BEX1	BEX1	BEX1	BEX1	0.056621753	56.65680473
BEX4	BEX4	BEX4	BEX4	BEX4	-0.044363802	48.52071006
TCEAL5	TCEAL5	TCEAL5	TCEAL5	TCEAL5	0.023778801	53.99408284
RAB40A	RAB40A	RAB40A	RAB40A	RAB40A	1.100060152	90.38461538
TCEAL1	TCEAL1	TCEAL1	TCEAL1	TCEAL1	0.337749957	70.26627219
TMEM31	TMEM31	TMEM31	TMEM31	TMEM31	0.245198634	66.42011834
H2BFWT	H2BFWT	H2BFWT	H2BFWT	H2BFWT	2.107974887	97.63313609
SLC25A53	SLC25A53	SLC25A53	SLC25A53	SLC25A53	0.234209642	65.97633136
FAM199X	FAM199X	FAM199X	FAM199X	FAM199X	-0.325371721	32.24852071
ZCCHC16	ZCCHC16	ZCCHC16	ZCCHC16	ZCCHC16	0.765967013	83.87573964
CXorf61	CXorf61	CXorf61	CXorf61	CT83	0.123540575	60.94674556
DOCK11	DOCK11	DOCK11	DOCK11	DOCK11	-0.302290823	33.43195266
NKRF	NKRF	NKRF	NKRF	NKRF	-0.785226009	14.49704142
CUL4B	CUL4B	CUL4B	CUL4B	CUL4B	-1.27647782	7.396449704
OCRL	OCRL	OCRL	OCRL	OCRL	-1.010601644	10.65088757
ZDHHC9	ZDHHC9	ZDHHC9	ZDHHC9	ZDHHC9	-0.787831267	14.34911243
OR13H1	OR13H1	OR13H1	OR13H1	OR13H1	0.960875075	89.05325444
FRMD7	FRMD7	FRMD7	FRMD7	FRMD7	0.507975383	76.92307692
DDX26B	DDX26B	DDX26B	DDX26B	DDX26B	-0.626951974	19.08284024
GPR112	GPR112	GPR112	GPR112	GPR112	2.48641467	98.96449704
CXorf66	CXorf66	CXorf66	CXorf66	CXorf66	0.422755172	73.81656805
MAGEC1	MAGEC1	MAGEC1	MAGEC1	MAGEC1	6.660245531	100
SPANXN3	SPANXN3	SPANXN3	SPANXN3	SPANXN3	0.151512455	62.5739645
SPANXN2	SPANXN2	SPANXN2	SPANXN2	SPANXN2	-0.465231671	25.73964497
UBE2NL	UBE2NL	UBE2NL	UBE2NL	UBE2NL	0.353462418	71.44970414
SPANXN1	SPANXN1	SPANXN1	SPANXN1	SPANXN1	0.070004881	57.10059172
CXorf40B	CXorf40B	CXorf40B	CXorf40B	CXorf40B	0.910091941	87.4260355
HMGB3	HMGB3	HMGB3	HMGB3	HMGB3	-0.393584551	29.14201183
VMA21	VMA21	VMA21	VMA21	VMA21	0.230630154	65.68047337
PASD1	PASD1	PASD1	PASD1	PASD1	0.176005788	63.75739645
PNMA3	PNMA3	PNMA3	PNMA3	PNMA3	0.068822367	56.95266272
HAUS7	HAUS7	HAUS7	HAUS7	HAUS7	0.960875075	89.05325444
SRPK3	SRPK3	SRPK3	SRPK3	SRPK3	0.000796129	51.62721893
TKTL1	TKTL1	TKTL1	TKTL1	TKTL1	-1.79596805	3.106508876
ATP6AP1	ATP6AP1	ATP6AP1	ATP6AP1	ATP6AP1	-0.508898082	23.66863905
GDI1	GDI1	GDI1	GDI1	GDI1	-1.243578578	7.544378698
FAM3A	FAM3A	FAM3A	FAM3A	FAM3A	-0.425085935	28.10650888
F8	F8	F8	F8	F8	-0.199715011	38.90532544
SEMA5B	SEMA5B	SEMA5B	SEMA5B	SEMA5B	0.352004138	71.79687971
MAP9	MAP9	MAP9	MAP9	MAP9	1.44502781	95.93397988
CCDC90A	CCDC90A	MCUR1	MCUR1	MCUR1	-0.15470459	39.60002409
TRMT11	TRMT11	TRMT11	TRMT11	TRMT11	0.234231994	65.62255286
IZUMO4	IZUMO4	IZUMO4	IZUMO4	IZUMO4	0.462289767	76.71224625
ZNF550	ZNF550	ZNF550	ZNF550	ZNF550	1.136486989	92.92211313
WFDC2	WFDC2	WFDC2	WFDC2	WFDC2	-0.053796221	46.53334136
PNCK	PNCK	PNCK	PNCK	PNCK	-0.468750586	25
MIB2	MIB2	MIB2	MIB2	MIB2	0.717837548	85.42256491
RER1	RER1	RER1	RER1	RER1	-0.314186872	30.58249503
PRDM16	PRDM16	PRDM16	PRDM16	PRDM16	-0.68978785	15.81230046
MEGF6	MEGF6	MEGF6	MEGF6	MEGF6	3.816745521	99.68676586
PTCHD2	PTCHD2	PTCHD2	PTCHD2	PTCHD2	-0.145684253	40.23251611
AADACL3	AADACL3	AADACL3	AADACL3	AADACL3	0.870145349	88.77778447
PRAMEF12	PRAMEF12	PRAMEF12	PRAMEF12	PRAMEF12	0.94152842	89.99457864
FAM131C	FAM131C	FAM131C	FAM131C	FAM131C	1.310540298	94.83766038
CAPZB	CAPZB	CAPZB	CAPZB	CAPZB	-0.339023247	29.28739233
OTUD3	OTUD3	OTUD3	OTUD3	OTUD3	0.240327438	65.98397687
SH2D5	SH2D5	SH2D5	SH2D5	SH2D5	0.118330353	58.67718812
MYOM3	MYOM3	MYOM3	MYOM3	MYOM3	3.589229428	99.62050479
SEPN1	SEPN1	SEPN1	SEPN1	SEPN1	0.335760549	71.01981808
FAM54B	MTFR1L	MTFR1L	MTFR1L	MTFR1L	0.33967289	71.20053009
UBXN11	UBXN11	UBXN11	UBXN11	UBXN11	0.875294351	88.86814047
DNAJC8	DNAJC8	DNAJC8	DNAJC8	DNAJC8	-0.091441562	43.95518342
PHACTR4	PHACTR4	PHACTR4	PHACTR4	PHACTR4	-0.337779136	29.32955846
YTHDF2	YTHDF2	YTHDF2	YTHDF2	YTHDF2	-0.833571362	12.06553822
COL16A1	COL16A1	COL16A1	COL16A1	COL16A1	0.298282935	69.13438949
KIAA1522	KIAA1522	KIAA1522	KIAA1522	KIAA1522	-0.045384376	47.05740618
ZSCAN20	ZSCAN20	ZSCAN20	ZSCAN20	ZSCAN20	-0.734556747	14.51117403
ZMYM1	ZMYM1	ZMYM1	ZMYM1	ZMYM1	-0.510235867	21.25173182
RSPO1	RSPO1	RSPO1	RSPO1	RSPO1	-0.188601075	37.53990723
INPP5B	INPP5B	INPP5B	INPP5B	INPP5B	-0.794689695	12.99319318
CAP1	CAP1	CAP1	CAP1	CAP1	0.032577524	52.68357328
PPCS	PPCS	PPCS	PPCS	PPCS	-0.175792192	38.31094512
HECTD3	HECTD3	HECTD3	HECTD3	HECTD3	-1.098676937	7.686283959
ZSWIM5	ZSWIM5	ZSWIM5	ZSWIM5	ZSWIM5	-0.662222584	16.45683995
TESK2	TESK2	TESK2	TESK2	TESK2	0.343257305	71.38124209
MMACHC	MMACHC	MMACHC	MMACHC	MMACHC	1.27349483	94.47623637
TMEM69	TMEM69	TMEM69	TMEM69	TMEM69	0.077099805	55.70146377
MAST2	MAST2	MAST2	MAST2	MAST2	-0.43329992	24.61297512
FAM159A	FAM159A	FAM159A	FAM159A	FAM159A	0.418713582	74.91114993
HSPB11	HSPB11	HSPB11	HSPB11	HSPB11	0.267512286	67.39353051
HEATR8	MROH7	MROH7	MROH7	MROH7	4.68286757	99.81326426
MYSM1	MYSM1	MYSM1	MYSM1	MYSM1	-0.234686152	34.96777303
RAVER2	RAVER2	RAVER2	RAVER2	RAVER2	-0.975882095	9.336786941
JAK1	JAK1	JAK1	JAK1	JAK1	-1.43737289	4.288898259
MIER1	MIER1	MIER1	MIER1	MIER1	-0.169858808	38.64225047
LRRIQ3	LRRIQ3	LRRIQ3	LRRIQ3	LRRIQ3	1.674536109	97.14475032
NEXN	NEXN	NEXN	NEXN	NEXN	-0.910429877	10.51743871
ELTD1	ELTD1	ELTD1	ELTD1	ELTD1	0.094896555	56.9303054
COL24A1	COL24A1	COL24A1	COL24A1	COL24A1	0.50746819	78.63381724
CLCA4	CLCA4	CLCA4	CLCA4	CLCA4	-0.501956889	21.6613457
RWDD3	RWDD3	RWDD3	RWDD3	RWDD3	-0.129086764	41.27462201
DPH5	DPH5	DPH5	DPH5	DPH5	-0.023027081	48.74405156
PRMT6	PRMT6	PRMT6	PRMT6	PRMT6	-0.771087522	13.51123426
C1orf194	C1orf194	C1orf194	C1orf194	C1orf194	0.671616257	84.07927233
SYPL2	SYPL2	SYPL2	SYPL2	SYPL2	0.32311526	70.36323113
PPIAL4G	PPIAL4G	PPIAL4G	PPIAL4G	PPIAL4G	0.462459451	76.71826998
HIST2H3D	HIST2H3D	HIST2H3D	HIST2H3D	HIST2H3D	0.277357604	67.96578519
OTUD7B	OTUD7B	OTUD7B	OTUD7B	OTUD7B	-1.293647149	5.45750256
APH1A	APH1A	APH1A	APH1A	APH1A	-0.021463089	48.8585025
TDRKH	TDRKH	TDRKH	TDRKH	TDRKH	0.126609025	59.27956147
TCHH	TCHH	TCHH	TCHH	TCHH	0.554586939	80.34455756
RPTN	RPTN	RPTN	RPTN	RPTN	1.535959189	96.39178363
NUP210L	NUP210L	NUP210L	NUP210L	NUP210L	-1.497335369	3.933497982
RAB25	RAB25	RAB25	RAB25	RAB25	0.405903663	74.36901391
CD1E	CD1E	CD1E	CD1E	CD1E	0.815155867	87.64532257
SPTA1	SPTA1	SPTA1	SPTA1	SPTA1	4.075926591	99.74097946
FCGR3B	FCGR3B	FCGR3B	FCGR3B	FCGR3B	1.260073237	94.34973797
C1orf129	MROH9	MROH9	MROH9	MROH9	1.196629463	93.72326968
PAPPA2	PAPPA2	PAPPA2	PAPPA2	PAPPA2	0.037084874	52.95464129
KIAA1614	KIAA1614	KIAA1614	KIAA1614	KIAA1614	1.264791366	94.39792784
DHX9	DHX9	DHX9	DHX9	DHX9	-2.235952889	1.451719776
TPR	TPR	TPR	TPR	TPR	-2.379892093	1.204746702
RGS21	RGS21	RGS21	RGS21	RGS21	0.081630353	56.09300645
CFHR4	CFHR4	CFHR4	CFHR4	CFHR4	2.393484836	99.01813144
DENND1B	DENND1B	DENND1B	DENND1B	DENND1B	-0.618316659	17.72182399
KISS1	KISS1	KISS1	KISS1	KISS1	0.688959488	84.61538462
FCAMR	FCAMR	FCAMR	FCAMR	FCAMR	0.491657364	77.85675562
BPNT1	BPNT1	BPNT1	BPNT1	BPNT1	-0.084726416	44.44310584
MIA3	MIA3	MIA3	MIA3	MIA3	1.131434712	92.84380459
SDE2	SDE2	SDE2	SDE2	SDE2	-0.084105757	44.47924824
SIPA1L2	SIPA1L2	SIPA1L2	SIPA1L2	SIPA1L2	-1.952337067	2.126377929
RBM34	RBM34	RBM34	RBM34	RBM34	0.827183368	87.92843805
OR1C1	OR1C1	OR1C1	OR1C1	OR1C1	0.003993224	50.64152762
FAM208B	FAM208B	FAM208B	FAM208B	FAM208B	0.741297652	85.90446359
TAF3	TAF3	TAF3	TAF3	TAF3	-0.879662179	11.09571713
CELF2	CELF2	CELF2	CELF2	CELF2	-0.865126424	11.42702247
MSRB2	MSRB2	MSRB2	MSRB2	MSRB2	1.017781818	91.31980001
ANKRD26	ANKRD26	ANKRD26	ANKRD26	ANKRD26	1.046423845	91.68724776
KIAA1462	KIAA1462	KIAA1462	KIAA1462	KIAA1462	1.554499366	96.55442443
ZNF239	ZNF239	ZNF239	ZNF239	ZNF239	0.168002417	61.78543461
TMEM72	TMEM72	TMEM72	TMEM72	TMEM72	0.479630555	77.39292814
C10orf128	C10orf128	C10orf128	C10orf128	C10orf128	0.630220382	82.89862057
TMEM26	TMEM26	TMEM26	TMEM26	TMEM26	-0.91183315	10.48732004
JMJD1C	JMJD1C	JMJD1C	JMJD1C	JMJD1C	-2.018107337	1.92157099
RUFY2	RUFY2	RUFY2	RUFY2	RUFY2	-0.36854777	27.82964882
STOX1	STOX1	STOX1	STOX1	STOX1	0.352158544	71.80290344
SFTPA2	SFTPA2	SFTPA2	SFTPA2	SFTPA2	0.786741249	87.01885429
GHITM	GHITM	GHITM	GHITM	GHITM	-0.287945615	31.871574
IFIT2	IFIT2	IFIT2	IFIT2	IFIT2	-0.21125221	36.2749232
MYOF	MYOF	MYOF	MYOF	MYOF	0.641257961	83.12752244
PLCE1	PLCE1	PLCE1	PLCE1	PLCE1	-1.254714206	5.836997771
TBC1D12	TBC1D12	TBC1D12	TBC1D12	TBC1D12	-0.461799565	23.29377748
CC2D2B	CC2D2B	CC2D2B	CC2D2B	CC2D2B	0.554141086	80.33853382
NKX2-3	NKX2-3	NKX2-3	NKX2-3	NKX2-3	-0.272792949	32.75103909
SLC25A28	SLC25A28	SLC25A28	SLC25A28	SLC25A28	-0.360110686	28.2392627
C10orf76	C10orf76	C10orf76	C10orf76	C10orf76	-0.855441528	11.66194808
NFKB2	NFKB2	NFKB2	NFKB2	NFKB2	-0.661274173	16.49900608
CUEDC2	CUEDC2	CUEDC2	CUEDC2	CUEDC2	-0.257797899	33.63652792
AS3MT	AS3MT	AS3MT	AS3MT	AS3MT	0.401372706	74.13408831
HSPA12A	HSPA12A	HSPA12A	HSPA12A	HSPA12A	-0.367146039	27.86579122
CACUL1	CACUL1	CACUL1	CACUL1	CACUL1	-0.436181884	24.49250045
PPAPDC1A	PPAPDC1A	PPAPDC1A	PPAPDC1A	PPAPDC1A	-0.377449257	27.3597976
IKZF5	IKZF5	IKZF5	IKZF5	IKZF5	-0.451958419	23.7455575
NPS	NPS	NPS	NPS	NPS	0.486512543	77.68206735
GPR123	GPR123	GPR123	GPR123	GPR123	-0.354957032	28.42599843
SCGB1C1	SCGB1C1	SCGB1C1	SCGB1C1	SCGB1C1	1.182592153	93.47629661
IFITM2	IFITM2	IFITM2	IFITM2	IFITM2	0.749876763	86.07312812
IFITM1	IFITM1	IFITM1	IFITM1	IFITM1	0.086160928	56.35805072
IFITM3	IFITM3	IFITM3	IFITM3	IFITM3	0.185506707	62.96006265
EFCAB4A	EFCAB4A	EFCAB4A	EFCAB4A	EFCAB4A	0.665516365	83.84434673
BRSK2	BRSK2	BRSK2	BRSK2	BRSK2	-1.572823196	3.53593157
KRTAP5-3	KRTAP5-3	KRTAP5-3	KRTAP5-3	KRTAP5-3	0.480413823	77.42907054
KRTAP5-5	KRTAP5-5	KRTAP5-5	KRTAP5-5	KRTAP5-5	1.318034082	94.89187398
INS-IGF2	INS-IGF2	INS-IGF2	INS-IGF2	INS-IGF2	0.374354575	72.86308054
NAP1L4	NAP1L4	NAP1L4	NAP1L4	NAP1L4	-0.160016487	39.27474249
MRGPRE	MRGPRE	MRGPRE	MRGPRE	MRGPRE	1.098223157	92.32576351
ZNF195	ZNF195	ZNF195	ZNF195	ZNF195	-0.128465445	41.29871694
OR52B4	OR52B4	OR52B4	OR52B4	OR52B4	0.775325895	86.71766761
OR52B6	OR52B6	OR52B6	OR52B6	OR52B6	1.109466324	92.48840431
TRIM22	TRIM22	TRIM22	TRIM22	TRIM22	1.016042685	91.28365761
OR56A3	OR56A3	OR56A3	OR56A3	OR56A3	0.149261361	60.74332872
USP47	USP47	USP47	USP47	USP47	-1.756578407	2.71068008
MICALCL	MICALCL	MICALCL	MICALCL	MICALCL	1.742973264	97.40979459
INSC	INSC	INSC	INSC	INSC	1.339574206	95.04849105
NUCB2	NUCB2	NUCB2	NUCB2	NUCB2	-0.073481194	45.32257093
IGSF22	IGSF22	IGSF22	IGSF22	IGSF22	2.077072203	98.42178182
SVIP	SVIP	SVIP	SVIP	SVIP	0.128337517	59.40003614
KCNA4	KCNA4	KCNA4	KCNA4	KCNA4	-1.057894214	8.234443708
CCDC73	CCDC73	CCDC73	CCDC73	CCDC73	0.104578036	57.65315342
QSER1	QSER1	QSER1	QSER1	QSER1	-0.159892645	39.28678995
DEPDC7	DEPDC7	DEPDC7	DEPDC7	DEPDC7	0.024298857	52.05710499
ACCSL	ACCSL	ACCSL	ACCSL	ACCSL	0.09942687	57.28570568
PTPMT1	PTPMT1	PTPMT1	PTPMT1	PTPMT1	0.402939088	74.20637311
FNBP4	FNBP4	FNBP4	FNBP4	FNBP4	-0.347622968	28.80549364
OR8U1	OR8U1	OR8U1	OR8U1	OR8U1	2.755787552	99.31329438
GLYATL2	GLYATL2	GLYATL2	GLYATL2	GLYATL2	1.527218904	96.33154629
